Word,Count,POS,Definition
algin,5,n,a gum used especially as a thickener or emulsifier
ALGOL,5,n,(from a combination of ALGOrithmic and Language); a programming language used to express computer programs as algorithms
Algol,5,n,the second brightest star in Perseus; the first known eclipsing binary
alias,5,n,a name that has been assumed temporarily
alibi,5,n,(law) a defense by an accused person purporting to show that he or she could not have committed the crime in question
alkyd,5,n,a durable synthetic resin widely used in adhesives and paints
alkyl,5,n,any of a series of univalent groups of the general formula CnH2n+1 derived from aliphatic hydrocarbons
Allah,5,n,Muslim name for the one and only God
Allen,5,n,a soldier of the American Revolution whose troops helped capture Fort Ticonderoga from the British (1738-1789)
Allen,5,n,United States filmmaker and comic actor (1935-)
Allen,5,n,"United States comedienne remembered as the confused but imperturbable partner of her husband, George Burns (1906-1964)"
alley,5,n,a narrow street with walls on both sides
alloy,5,n,a mixture containing two or more metallic elements or metallic and nonmetallic elements usually fused together or dissolving into each other when molten; brass is an alloy of zinc and copper
allyl,5,n,the univalent unsaturated organic radical C3H5; derived from propylene
Alnus,5,n,alders
aloes,5,n,a purgative made from the leaves of aloe
aloha,5,n,an acknowledgment that can be used to say hello or goodbye (aloha is Hawaiian and ciao is Italian)
Alosa,5,n,shad
alpha,5,n,the 1st letter of the Greek alphabet
alpha,5,n,"the beginning of a series or sequence; the Alpha and Omega, the first and the last, the beginning and the end--Revelations"
altar,5,n,a raised structure on which gifts or sacrifices to a god are made
altar,5,n,the table in Christian churches where communion is given
alula,5,n,scalelike structure between the base of the wing and the halter of a two-winged fly
A'man,5,n,the Israeli military intelligence which produces comprehensive national intelligence briefings for the prime minister and the cabinet
Amati,5,n,a violin made by Nicolo Amati or a member of his family
Amati,5,n,Italian violin maker in Cremona; taught the craft to Guarneri and Stradivari (1596-1684)
amber,5,n,a deep yellow color; an amber light illuminated the room; he admired the gold of her hair
amber,5,n,a hard yellowish to brownish translucent fossil resin; used for jewelry
amble,5,n,a leisurely walk (usually in some public place)
ameba,5,n,naked freshwater or marine or parasitic protozoa that form temporary pseudopods for feeding and locomotion
amide,5,n,any organic compound containing the group -CONH2
amigo,5,n,a friend or comrade
amine,5,n,a compound derived from ammonia by replacing hydrogen atoms by univalent hydrocarbon radicals
