Word,Count,POS,Synonyms
basic,5,satellite,canonic;canonical|introductory
bated,5,verb,bate|bate|bate|bat|bat;flutter|bat|bat|cream;bat;clobber;drub;thrash;lick
batty,5,satellite,balmy;barmy;bats;bonkers;buggy;cracked;crackers;daft;dotty;fruity;haywire;kooky;kookie;loco;loony;loopy;nuts;nutty;round the bend;around the bend;wacky;whacky
bawdy,5,noun,bawdry
bawdy,5,satellite,off-color;ribald
beady,5,satellite,beadlike;buttony;buttonlike|gemmed;jeweled;jewelled;sequined;spangled;spangly
beamy,5,satellite,beaming;effulgent;radiant;refulgent
beefy,5,satellite,burly;husky;strapping;buirdly
beige,5,noun,ecru
biped,5,adjective,bipedal;two-footed
birch,5,noun,birch tree|birch rod
birch,5,satellite,birchen;birken
bitty,5,satellite,bittie;teensy;teentsy;teeny;wee;weeny;weensy;teensy-weensy;teeny-weeny;itty-bitty;itsy-bitsy
black,5,noun,blackness;inkiness|total darkness;lightlessness;blackness;pitch blackness|Black;Joseph Black|Black;Shirley Temple Black;Shirley Temple|Black;Black person;blackamoor;Negro;Negroid
black,5,verb,blacken;melanize;melanise;nigrify
black,5,satellite,bleak;dim|dark;sinister|calamitous;disastrous;fatal;fateful|blackened|pitch-black;pitch-dark|grim;mordant|bootleg;black-market;contraband;smuggled|disgraceful;ignominious;inglorious;opprobrious;shameful|smutty
blame,5,noun,incrimination;inculpation|rap
blame,5,verb,fault|find fault;pick|charge
blame,5,satellite,blasted;blamed;blessed;damn;damned;darned;deuced;goddam;goddamn;goddamned;infernal
bland,5,satellite,flat;flavorless;flavourless;insipid;savorless;savourless;vapid|flat|politic;smooth;suave
blank,5,noun,space|lacuna|dummy;blank shell
blank,5,satellite,clean;white|vacuous
blase,5,satellite,worldly|bored
blate,5,verb,bleat;blat;baa
blate,5,satellite,bashful
bleak,5,satellite,black;dim|bare;barren;desolate;stark|cutting;raw
blear,5,verb,blur
blear,5,satellite,bleary;bleary-eyed;blear-eyed
blest,5,verb,bless|bless|bless;sign|consecrate;bless;hallow;sanctify
blest,5,adjective,blessed
blind,5,noun,screen|subterfuge
blind,5,verb,dim
blind,5,adjective,unsighted
blind,5,satellite,unreasoning
blond,5,noun,blonde|blonde
blond,5,adjective,blonde;light-haired
blown,5,verb,blow|blow|blow|float;drift;be adrift;blow|blow|blow|botch;bodge;bumble;fumble;botch up;muff;blow;flub;screw up;ball up;spoil;muck up;bungle;fluff;bollix;bollix up;bollocks;bollocks up;bobble;mishandle;louse up;foul up;mess up;fuck up|waste;blow;squander|blow|blow|blow|fellate;suck;blow;go down on|blow|blow|blow|shove off;shove along;blow|blow|blow|boast;tout;swash;shoot a line;brag;gas;blow;bluster;vaunt;gasconade|blow|blow out;burn out;blow|blow
blown,5,satellite,pursy;short-winded;winded
blowy,5,satellite,breezy;windy
bluff,5,noun,four flush
bluff,5,verb,bluff out
bluff,5,satellite,bold;sheer
blunt,5,verb,numb;benumb;dull|dull|deaden
blunt,5,satellite,candid;forthright;frank;free-spoken;outspoken;plainspoken;point-blank;straight-from-the-shoulder|crude;stark
boggy,5,satellite,marshy;miry;mucky;muddy;quaggy;sloppy;sloughy;soggy;squashy;swampy;waterlogged
bogus,5,satellite,fake;phony;phoney;bastard
boned,5,verb,cram;grind away;drum;bone up;swot;get up;mug up;swot up;bone|bone;debone
boned,5,satellite,deboned
boney,5,adjective,bony
