lemma,Count,part_of_speech,hyponyms
amity,5,noun,peaceableness
amuse,5,verb,convulse
angel,5,noun,archangel;cherub;divine messenger;guardian spirit;seraph|buddha;fakir
anger,5,noun,annoyance;bad temper;dander;fury;huffiness;indignation;infuriation;umbrage|rage
anger,5,verb,combust;enrage;exacerbate;gall;infuriate;madden;miff;pique|bridle;raise the roof;steam
angle,5,noun,angle of extinction;angle of incidence;angle of reflection;angle of refraction;angular distance;axil;azimuth;complementary angles;crotch;cutting angle;dip;dogleg;exterior angle;face angle;helix angle;inclination;inclination;interior angle;lead;magnetic declination;oblique angle;perigon;plane angle;polyhedral angle;reflex angle;right angle;salient angle;solid angle;spherical angle;tilt angle;vertical angle;view angle;wave angle
angle,5,verb,lean back;list;slope;weather|fly-fish;troll
anion,5,noun,hydroxide ion;superoxide
annex,5,noun,ell
annex,5,verb,colonize
annoy,5,verb,antagonize;eat into;fret;get;harass;peeve;ruffle
annul,5,verb,break;stet|renege
anode,5,noun,plate
antic,5,noun,dirty trick;practical joke
aorta,5,noun,abdominal aorta;aortic arch;ascending aorta;descending aorta;thoracic aorta
apery,5,noun,parody
aphid,5,noun,ant cow;apple aphid;blackfly;greenfly;woolly aphid
apnea,5,noun,periodic apnea of the newborn;sleep apnea
appal,5,verb,shock
apple,5,noun,cooking apple;crab apple;eating apple
apply,5,verb,address;avail;cannibalize;enjoy;exert;exploit;exploit;fall back;give;implement;misapply;overuse;play;play;ply;pull out all the stops;put;recycle;share;strain;take;waste;work|put in|cold-cream;cream;dab;daub;dress;gum;putty;slap on;sponge on|administer;tread|follow|execute;run
apsis,5,noun,tribune
arbor,5,noun,grape arbor
arced,5,verb,camber
ardor,5,noun,zeal
areca,5,noun,betel palm
arena,5,noun,distaff;front;kingdom;lap;political arena;preserve;province|amphitheater;ballpark;bullring;circus;dome;football stadium;hippodrome;skybox|circus
argot,5,noun,rhyming slang;street name
argue,5,verb,defend;expostulate;re-argue|oppose;quarrel;quibble;spar;stickle
arise,5,verb,come;come forth;head;resurge;well up|take the floor|come up;condense;open|bubble;chandelle;climb;go up;rise;rocket;scend;soar;steam;uplift|mutiny;revolt
armed,5,verb,forearm;rearm|munition;rearm
armor,5,noun,body armor;shield
aroid,5,noun,alocasia;amorphophallus;black calla;caladium;cuckoopint;devil's tongue;dracontium;dragon arum;dumb cane;friar's-cowl;green dragon;jack-in-the-pulpit;krubi;nephthytis;pungapung;taro;yautia
aroma,5,noun,bouquet;malodorousness;muskiness;rancidness|incense
array,5,noun,bank;column;matrix;panoply;row;spectrum;table|war paint
array,5,verb,compart|fall in line;side
arrow,5,noun,broad arrow;butt shaft;quarrel
asana,5,noun,matsyendra
asian,5,noun,afghan;altaic;armenian;bangladeshi;bengali;bhutanese;burmese;byzantine;cambodian;chinese;coolie;east indian;eurasian;hindu;hmong;iberian;indian;indonesian;irani;iraqi;israeli;israelite;japanese;jordanian;kazakhstani;korean;kurd;kuwaiti;lao;lebanese;malay;malaysian;maldivian;mongoloid;nepalese;oriental;pakistani;parthian;sherpa;singaporean;sinhalese;sri lankan;syrian;taiwanese;tajik;thai;tibetan;timorese;trojan;turki;vietnamese
asker,5,noun,cross-examiner;examiner;inquisitor;interviewer;pollster
aspen,5,noun,american quaking aspen;canadian aspen;quaking aspen
assay,5,noun,apgar score;countercheck;paternity test;stress test|bioassay;diagnostic test;enzyme-linked-immunosorbent serologic assay;immunohistochemistry
assay,5,verb,bioassay|endeavor;fight;gamble;give it a whirl;grope;have a go;risk;take a dare
asset,5,noun,advantage;forte;resource
aster,5,noun,annual salt-marsh aster;aromatic aster;arrow leaved aster;azure aster;bog aster;bushy aster;crooked-stemmed aster;eastern silvery aster;flat-topped white aster;goldilocks;heath aster;heath aster;late purple aster;michaelmas daisy;new england aster;panicled aster;perennial salt marsh aster;prairie aster;purple-stemmed aster;rough-leaved aster;rush aster;schreiber's aster;sea aster;short's aster;small white aster;smooth aster;southern aster;starved aster;stiff aster;tradescant's aster;upland white aster;wavy-leaved aster;western silvery aster;white prairie aster;whorled aster;willow aster;wood aster
ataxy,5,noun,friedreich's ataxia;hereditary cerebellar ataxia
athar,5,noun,attar of roses
atlas,5,noun,dialect atlas
attar,5,noun,attar of roses
attic,5,noun,cockloft;hayloft
audio,5,noun,audiotape;phonograph record;soundtrack;talking book
audit,5,noun,financial audit;limited audit
aught,5,noun,bugger all;nihil
augur,5,verb,foreshow;threaten
aunty,5,noun,great-aunt;maiden aunt
auxin,5,noun,indoleacetic acid;indolebutyric acid
avens,5,noun,bennet;bennet;herb bennet;prairie smoke;water avens;yellow avens;yellow avens
avoid,5,verb,bypass;get off;hedge;keep off;miss;shirk;shun;shy away from|fiddle|break;stet
await,5,verb,anticipate;expect;hang on;look forward;look to
award,5,noun,addiction|academic degree;academy award;aliyah;cachet;citation;decoration;emmy;letter;mention;nobel prize;pennant;prix de rome;prix goncourt;trophy;trophy|door prize;fellowship;gratuity;jackpot;premium;prize money;scholarship
award,5,verb,certificate;confer|pension
awing,5,verb,overawe
axiom,5,noun,aphorism;gnome;moralism|euclid's axiom
azide,5,noun,hydrazoite
baccy,5,noun,filler;roll of tobacco;shag;smoking mixture;snuff;turkish tobacco
bacon,5,noun,bacon strip;canadian bacon;flitch;gammon
badge,5,noun,black belt;blue ribbon;button;chevron;id;insignia;merit badge;stripe
bagel,5,noun,onion bagel
baked,5,verb,fire;ovenbake;shirr
bandy,5,verb,shuttlecock
