lemma,Count,part_of_speech,hyponyms
court,5,noun,appellate court;assizes;chancery;consistory;court;criminal court;divorce court;family court;federal court;foreign intelligence surveillance court;inferior court;inquisition;international court of justice;juvenile court;kangaroo court;military court;moot court;police court;probate court;quarter sessions;rota;star chamber;superior court;supreme court;traffic court;trial court|court of saint james's;porte|badminton court;basketball court;handball court;piste;squash court;tennis court;volleyball court|motel|atrium;bailey;cloister;food court;forecourt;parvis
court,5,verb,chase;display
cover,5,noun,blind;camouflage;shoji;stalking-horse|afghan;electric blanket;mackinaw;manta;security blanket|half binding;three-quarter binding|bark;blanket;body covering;crust;envelope;hood;indumentum;indusium;integument;perianth;pericarp;peridium;roof;scale;sheath;shell;shell;shell;skim;slough;snowcap;test;theca;vesture|cap;lid;manhole cover;screwtop
cover,5,verb,aluminize;bank;bark;bedaub;bind;blacklead;blanket;blindfold;blinker;board up;bread;brush;butter;canopy;canvas;carpet;carpet;clapboard;cloak;coat;coif;concrete;cowl;crape;crown;daub;drape;dust;envelop;face;feather;felt;flake;flash;foil;frost;frost;frost;grass;gravel;grease;hold;hood;jacket;lag;laminate;lime;line;mask;mask;mask;mound over;mulch;oil;paint;pall;paper;parcel;paste;plank;plaster;plaster;plaster;put on;recover;roof;sheathe;sheet;smother;sod;spray;spread;spritz;steel;straw;tile;turf;veneer;wallpaper;wash;wax;whiteout;wrap|blanket;bloody;carpet;clothe;coat;flood;glaciate;grass;mantle;mist;shroud;smother;strew;submerge|cross;dot;overlap;ridge;spread;sweep|discourse;theologize|bridge;course;crisscross;drive;ford;hop;jaywalk;stride;tramp;walk|whitewash|double-team|indemnify;reinsure|splash
covet,5,verb,salivate
cowry,5,noun,money cowrie;tiger cowrie
cozen,5,verb,betray;cheat;cheat on;ensnare;flim-flam;fool;hoax;humbug;shill
crabs,5,noun,dungeness crab;fiddler crab;hard-shell crab;jonah crab;king crab;pea crab;rock crab;soft-shell crab;spider crab;stone crab;swimming crab|alaska king crab;blue crab;crab legs;dungeness crab;japanese crab;soft-shell crab;stone crab
crack,5,noun,chap;chink;crevasse;fatigue crack;fault;rift;slit;split;vent|lacuna;spark gap|craze
crack,5,verb,crack|alligator;chap;craze|check;fissure
craft,5,noun,airplane mechanics;auto mechanics;basketry;carpentry;drafting;dressmaking;electrical work;handicraft;interior decoration;lumbering;masonry;mintage;oculism;painting;papermaking;piloting;plumbing;pottery;pyrotechnics;roofing;sheet-metal work;shingling;shoemaking;tailoring;tanning;tool-and-die work;typography;undertaking;upholstery;winemaking|aircraft;hovercraft;landing craft;spacecraft;vessel|housecraft;priestcraft;stagecraft;tradecraft;watercraft;woodcraft
craft,5,verb,filigree;handcraft
crake,5,noun,corncrake;spotted crake
cramp,5,noun,blepharospasm;charley horse;crick;myoclonus;opisthotonos;tenesmus;trismus;twitch;writer's cramp
crane,5,noun,davit;derrick;transporter|whooping crane
crank,5,noun,crab;fire-eater;misanthrope|crank handle
crape,5,noun,crepe suzette|canton crepe;crepe de chine;marocain
craps,5,noun,crap shooting
craps,5,verb,dung
crash,5,noun,prang|impingement|head crash
crash,5,verb,ditch;prang;wrap
crate,5,noun,packing box;soapbox
crawl,5,verb,formicate
craze,5,noun,mass hysteria;nympholepsy
craze,5,verb,unbalance
cream,5,noun,clotted cream;double creme;heavy cream;light cream;sour cream;whipping cream|cold cream;hand cream;lanolin;nard;sunscreen
credo,5,noun,athanasian creed;testament
creed,5,noun,athanasian creed;testament|ahimsa;confession;dogma;ecumenism;immaculate conception;incarnation;nicene creed;original sin;real presence
creek,5,noun,brooklet
creep,5,verb,formicate
crepe,5,noun,crepe suzette|canton crepe;crepe de chine;marocain
cress,5,noun,arabidopsis lyrata;arabidopsis thaliana;bittercress;common garden cress;rock cress;scurvy grass;tower mustard;watercress;winter cress|garden cress;watercress;winter cress
crest,5,noun,hilltop;mountain peak;pinnacle|comb;topknot;tuft
crier,5,noun,bawler;blubberer
crime,5,noun,attack;barratry;capital offense;cybercrime;felony;forgery;fraud;had crime;hijack;mayhem;misdemeanor;perpetration;statutory offense;tazir crime;thuggery;treason;vice crime;victimless crime;war crime
crimp,5,noun,kink;pleat;pucker|pin curl;spit curl
crimp,5,verb,flute
crisp,5,verb,pucker;pucker
croak,5,verb,abort;buy it;drown;fall;predecease;starve;succumb;suffocate
crony,5,noun,cobber
crook,5,noun,accessory;arsonist;blackmailer;bootlegger;briber;conspirator;desperado;fugitive;gangster;highbinder;highjacker;hood;jail bird;kidnapper;mafioso;moll;murderer;probationer;pusher;racketeer;raper;recidivist;scofflaw;smuggler;thief;traitor;violator|bight
crook,5,verb,recurve
cross,5,noun,calvary cross;celtic cross;crucifix;greek cross;jerusalem cross;latin cross;lorraine cross;maltese cross;papal cross;patriarchal cross;st. andrew's cross;tau cross|dihybrid;monohybrid|dihybrid cross;monohybrid cross;reciprocal cross;testcross
cross,5,verb,bridge;course;crisscross;drive;ford;hop;jaywalk;stride;tramp;walk|cross|dash;disappoint;ruin;short-circuit|decussate|backcross
croup,5,noun,haunch
crowd,5,noun,army;crush;drove;huddle;mob;phalanx;troop
crowd,5,verb,overcrowd|herd;mass;overcrowd;pour;throng
crown,5,noun,crown of thorns|coronet|capitulum|hilltop;mountain peak;pinnacle|tonsure
crude,5,noun,residual oil
crumb,5,noun,breadcrumb;cracker crumbs
crush,5,noun,traffic jam|grind
crush,5,verb,repress|stamp;steamroller;telescope;tread;wring|cheat;checkmate;cream;eliminate;get the best;get the jump;immobilize;outdo;outfight;outplay;outpoint;overcome;overpower;spread-eagle;surpass;walk over;whomp;worst|bruise
crust,5,noun,horst;plate|tartar|chutzpa
cured,5,verb,recuperate|dun
curio,5,noun,bric-a-brac;collectible;collector's item
curry,5,noun,lamb curry
curse,5,noun,anathema;imprecation
curve,5,noun,arc;arch;bell;bend;bow;catenary;closed curve;crescent;cupid's bow;envelope;extrados;gooseneck;helix;hook;intrados;meander;normal curve;perversion;quadric;roulette;s-shape;scallop;sinuosity;spiral;wave|regression line|curliness;straightness|blind curve;elbow;hairpin bend
curve,5,verb,peel off;yaw|circumvolute;snake;spiral|camber|recurve
cutis,5,noun,buff;cuticle;dewlap;hangnail;investment;prepuce;prepuce;scalp;skin graft;thick skin
cycad,5,noun,burrawong;ceratozamia;dioon;encephalartos;kaffir bread;macrozamia;sago palm;zamia
cycle,5,noun,merry-go-round;samsara|cardiac cycle;carnot cycle;menstrual cycle;pass|bicycle-built-for-two;mountain bike;ordinary;push-bike;safety bicycle;velocipede
cycle,5,verb,recycle|cycle on|backpedal;unicycle
cyder,5,noun,hard cider;scrumpy;sweet cider
cynic,5,noun,detractor
cytol,5,noun,centrosome;cytoplast;cytosol;ectoplasm;endoplasm;hyaloplasm;plasmodium;sarcoplasm;syncytium
daisy,5,noun,common daisy
dally,5,verb,vamp;wanton
dance,5,noun,choreography;extension|ball|adagio;break dancing;courante;mambo;nautch;pas de deux;pas de quatre;pas de trois;pas seul;pavane;phrase;ritual dancing;saraband;skank;slam dancing;social dancing;stage dancing;step dancing;toe dancing|ball;barn dance;hop;rave
dance,5,verb,capriole;chasse;glissade|belly dance;boogie;bop;break dance;bump;cakewalk;cha-cha;charleston;clog;conga;contradance;disco;folk dance;foxtrot;grind;heel;hoof;jig;jitterbug;jive;kick;mambo;one-step;polka;quickstep;rhumba;samba;shag;shimmy;skank;slam dance;square dance;tango;tap dance;tapdance;twist;two-step;waltz
dandy,5,noun,coxcomb;macaroni
darts,5,noun,banderilla
darts,5,verb,butterfly|plunge
dated,5,verb,double-date|chronologize;misdate|date;dateline
datum,5,noun,reading;statistic
deary,5,noun,chosen;macushla;mollycoddle;teacher's pet
death,5,noun,fatality;martyrdom;megadeath;passing;wrongful death|brain death;necrobiosis;necrosis|extinction;neonatal death;rest;sudden infant death syndrome|grave
debar,5,verb,send down
debit,5,verb,charge
debut,5,noun,induction;naturalization;product introduction;ushering in
decay,5,noun,cavity;corruption;decomposition;dilapidation;spoilage|exponential decay|decomposition;deterioration;putrefaction;rancidity|alpha decay;beta decay
decay,5,verb,break;corrode;deteriorate;erode;ruin;weather;wilt|decompose;deliquesce;putrefy;spoil
decoy,5,noun,roper;shill|chum;fisherman's lure;ground bait;stool pigeon
deeds,5,noun,bill of sale;deed poll;enfeoffment;mortgage deed;title deed|acquiring;action;activity;assumption;causing;communication;delivery;departure;derivation;discovery;disposal;distribution;egress;equalization;exhumation;forfeit;group action;hindrance;hire;implementation;inactivity;judgment;leaning;legitimation;mitzvah;motivation;nonaccomplishment;proclamation;production;propulsion;recovery;rejection;residency;running away;speech act;stay;stop;touch;waste;wear
defer,5,verb,call;hold;probate;reprieve;suspend
deify,5,verb,apotheosize
deity,5,noun,anglo-saxon deity;celtic deity;chinese deity;daemon;demiurge;earth-god;egyptian deity;goddess;greco-roman deity;greek deity;hindu deity;japanese deity;norse deity;persian deity;phrygian deity;roman deity;saint;sea god;semitic deity;sun god;teutonic deity;war god;zombi
delay,5,noun,extension;moratorium;retardation|break;dalliance;demurrage;filibuster;forbearance;postponement;procrastination;slowdown;tarriance
delay,5,verb,buy time;catch;stall;stonewall|hesitate;postpone;procrastinate;procrastinate|dampen;stay
delve,5,verb,burrow;furrow;rout;shovel;spade;trowel
demon,5,noun,dybbuk;incubus;succubus|demoniac
denim,5,noun,levi's
depot,5,noun,air terminal;bus terminal;cathode;railway station;subway station|dump;granary;magazine;railhead;treasure house;warehouse
depth,5,noun,deepness;draft;penetration;shallowness;sounding|profundity;superficiality|back of beyond
desex,5,verb,alter;emasculate;vasectomize
deter,5,verb,talk out of
deuce,5,noun,couple;craps
devil,5,noun,dybbuk;incubus;succubus|demoniac
devil,5,verb,antagonize;eat into;fret;get;harass;peeve;ruffle
diary,5,noun,web log
dicot,5,noun,barbados cherry;cyrilliaceae;jiqui
digit,5,noun,binary digit;decimal digit;duodecimal digit;eight;five;four;hexadecimal digit;nine;octal digit;one;seven;significant digit;six;three;two;zero|finger;minimus;toe
diner,5,noun,cutter;tablemate
diode,5,noun,light-emitting diode
dirge,5,noun,keen
dirty,5,verb,blemish;crock;foul;mire;muddy;pollute;slime;smear;splash
ditch,5,noun,drainage ditch;irrigation ditch;sunk fence;trench;trench
diver,5,noun,deep-sea diver;pearl diver;scuba diver
djinn,5,noun,eblis;shaitan|eblis;shaitan|eblis;shaitan
do by,5,verb,brutalize;criminalize;do well by;gloss over;handle with kid gloves;ignore;mistreat;mock;nurse;pamper;ride roughshod;rough-house;strong-arm;upstage;wrong
do it,5,verb,fornicate;take
dodge,5,noun,plant;pump-and-dump scheme;wangle
dodge,5,verb,beg;quibble
dogma,5,noun,article of faith
dolly,5,noun,golliwog;kachina;paper doll;puppet;rag doll;sawdust doll;toy soldier
donee,5,noun,co-beneficiary;devisee;legatee;pensioner
donor,5,noun,abnegator;almsgiver;indian giver;philanthropist;settlor;subscriber;subsidizer;tipper|blood donor;organ donor
donut,5,noun,raised doughnut
doped,5,verb,soup
dosed,5,verb,anesthetize;dope;narcotize;overdose;poison
doubt,5,noun,incredulity;indecision;mental reservation;misgiving;peradventure;suspense
dough,5,noun,bread dough;pastry
douse,5,verb,dabble;dip;sop|bate;bedraggle;brine;ret;sluice
dower,5,verb,benefice
dowse,5,verb,bate;bedraggle;brine;ret;sluice
dozen,5,noun,boxcars
dozer,5,noun,angledozer
draba,5,noun,whitlow grass
draft,5,noun,acceptance;bank draft;check;dividend warrant;foreign bill;inland bill;money order;overdraft;redraft;sight draft;time draft;trade acceptance|downdraft;updraft|quaff|levy
draft,5,verb,recruit
drain,5,noun,culvert;scupper;sewer;soil pipe;trap|brain drain;drawing
drain,5,verb,waste
drama,5,noun,grand guignol;miracle play;morality play;mystery play;passion play;playlet;satyr play;theater of the absurd|night terror|closet drama;comedy;tragedy
drape,5,noun,drop curtain;festoon;frontal;portiere;shower curtain;theater curtain
drawn,5,verb,abduct;adduct;attract;drag;haul;pluck;pluck;pull back;stretch;tug;twitch;winch;yank|circumscribe;circumscribe;construct;inscribe;write|unsheathe|cartoon;chalk;charcoal;check;crayon;delineate;diagram;doodle;pencil;project;rule;shade;sketch|deglycerolize;milk;pump;rack;siphon;sluice;suck;tap|delineate;represent;sketch|cheque;dip;divert;divest;overdraw;tap|blot;sponge up;wipe up|bring;catch;draw in;tug|bead;wire|rub;thread;thread|suppurate
dread,5,noun,chill;foreboding;gloom;suspense;trepidation
dread,5,verb,panic
dream,5,noun,nightmare;wet dream|reverie;woolgathering|american dream;emulation;nationalism
dregs,5,noun,grounds
dress,5,noun,caftan;chemise;coatdress;cocktail dress;dirndl;gown;jumper;kirtle;morning dress;mother hubbard;polonaise;sari;shirtdress;strapless;sundress|ao dai;costume;costume;costume;costume;disguise;ecclesiastical attire;finery;formalwear;habit;habit;hairpiece;morning dress;outfit;sportswear|workwear
dress,5,verb,bundle up;change;cross-dress;dandify;dress;dress down;overdress;prink;wear|coat;corset;costume;cover;frock;gown;habit;jacket;overdress;prim;shirt;shoe;underdress;vest;vesture|vest|disbud;poll;shear;top|bandage;poultice|bob;wave
dried,5,verb,air;blow-dry;dehumidify;dehydrate;drip-dry;exsiccate;parch;rough-dry;spin-dry;spray-dry;tumble dry|run dry;scorch
drier,5,noun,clothes dryer;hand blower
drift,5,noun,leeway|melioration|drumlin;snowdrift|evolutionary trend;gravitation
drift,5,verb,stream;tide;waft|gallivant;maunder
drill,5,noun,auger;bore bit;brace and bit;breast drill;core drill;dentist's drill;hand drill;power drill;reamer;trepan|fire drill;manual of arms;military drill;rehearsal;rehearsal;review;scrimmage;shadowboxing;target practice
drill,5,verb,counter-drill;spud;trepan|hammer in;inculcate
drink,5,noun,chaser;draft;eye opener;frappe;hair of the dog;ice-cream soda;libation;milkshake;nightcap;pledge;posset;sangaree;shandygaff;stirrup cup;sundowner;syllabub;whiskey neat;whiskey on the rocks|drinking bout|alcohol;cider;cocoa;coffee;cooler;drinking water;fizz;fruit drink;fruit juice;ginger beer;hydromel;mate;milk;mixer;near beer;oenomel;potion;refresher;smoothie;soft drink;tea-like drink;tea;wish-wash|aerophagia;gulp;sip
drink,5,verb,drain the cup;guggle;gulp;guzzle;lap;sip;suck;swill;toss off|carry;claret;port;pub-crawl;souse;tank;tipple;wine|give
drive,5,noun,firewall;impulse|fusee drive|advertising campaign;anti-war movement;campaigning;charm campaign;consumerism;feminist movement;fund-raising campaign;gay liberation movement;lost cause;reform;war;youth movement|action;aggressiveness;ambition;energy;enterprise|cattle drive|joyride;lift;spin|hunger;hypoxia;sex drive;thirst|cd-rom drive;cd drive;disk drive;external drive;internal drive;ram disk|backhand drive;forehand drive
drive,5,verb,coach;drive;test drive;tool|drive around;pull|toe|strive|pull|mush
drome,5,noun,heliport
drone,5,noun,loiterer;plodder;putterer;straggler
droop,5,verb,bag;slump
dross,5,noun,basic slag
drove,5,verb,coach;drive;test drive;tool|drive around;pull|toe|strive|pull|mush
drunk,5,noun,alcoholic|drunk-and-disorderly
drunk,5,verb,drain the cup;guggle;gulp;guzzle;lap;sip;suck;swill;toss off|carry;claret;port;pub-crawl;souse;tank;tipple;wine|give
drupe,5,noun,almond;cherry;drupelet;elderberry;jujube;olive;peach;plum
dryad,5,noun,hamadryad
dryer,5,noun,clothes dryer;hand blower
ducky,5,noun,chosen;macushla;mollycoddle;teacher's pet
dummy,5,noun,lay figure;mannequin;ventriloquist's dummy
dumps,5,noun,eitchen midden;garbage heap;toxic waste dump|core dump
dutch,5,noun,frisian|afrikaans;flemish
dwarf,5,noun,pituitary dwarf;primordial dwarf|andvari;nibelung
dwell,5,verb,board;camp;cohabit;lodge;neighbor;nest;occupy;overpopulate;people;reside;tenant
dying,5,noun,grave
dying,5,verb,abort;buy it;drown;fall;predecease;starve;succumb;suffocate|blow out;crash;malfunction;misfire
eagle,5,noun,bald eagle;eaglet;golden eagle;harpy;sea eagle;tawny eagle
earth,5,noun,diatomaceous earth;moraine;saprolite;soil|archipelago;beachfront;cape;coastal plain;floor;foreland;forest;island;isthmus;landmass;mainland;neck;oxbow;peninsula;plain;slash;wonderland
eased,5,verb,abreact
eater,5,noun,devourer;diner;dunker;glutton;gobbler;luncher;mouth;mycophagist;nosher;omnivore;picnicker;scoffer;vegetarian
edema,5,noun,anasarca;angioedema;cerebral edema;chemosis;cystoid macular edema;lymphedema;papilledema;scleredema
edged,5,verb,neighbor
edict,5,noun,bull;consent decree;curfew;decree nisi;imperial decree;legal separation;programma;prohibition;stay
educe,5,verb,etymologize
egest,5,verb,evacuate;exude;make;stool;sweat;urinate;vomit
egret,5,noun,american egret;cattle egret;great white heron;little egret;snowy egret
eject,5,verb,bounce;evict;evict;exorcise;show the door|abort;blow;ejaculate;emit;excrete;expectorate;fester;ovulate;shed blood;spew|extravasate;spritz
eland,5,noun,common eland;giant eland
elate,5,verb,beatify;exhilarate;puff
elder,5,noun,dean;doyenne|american elder;american red elder;blue elder;bourtree;dwarf elder;european red elder|presbyter
elect,5,verb,co-opt;reelect
elide,5,verb,drop
elite,5,noun,chosen;cream;few;intelligentsia;nobility;society
elude,5,verb,defy|beg;quibble
elves,5,noun,leprechaun;sandman
email,5,noun,freemail;spam
email,5,verb,spam
embed,5,verb,bury;nest;pot
emcee,5,noun,compere;lord of misrule;question master;ringmaster;toastmaster
emmet,5,noun,army ant;bulldog ant;carpenter ant;fire ant;little black ant;pharaoh ant;slave-making ant;slave ant;wood ant
empty,5,verb,bail;bleed;clean out;clear;clear;drain;evacuate;evacuate;eviscerate;exhaust;gut;hollow;knock out;void|flow away|unload|suction
enact,5,verb,legislate;reenact
ended,5,verb,adjourn;break;conclude;culminate;cut out;discontinue;go out;lapse;pass away;run low;run out;turn out;vanish;vanish|abort;ax;break;close;close;close out;closure;complete;conclude;culminate;decide;dissolve;dissolve;finalize;finish;interrupt;lift;phase out;stamp out;stub out|close
endow,5,verb,cover|benefice
endue,5,verb,cover
enema,5,noun,barium enema;colonic irrigation
enemy,5,noun,besieger|mortal enemy
enjoy,5,verb,devour;feast one's eyes|get off|have a ball;live it up;wallow
ennui,5,noun,blahs;fatigue
enrol,5,verb,enlist;matriculate;register;unionize
ensue,5,verb,be due;come;follow;follow
enter,5,verb,board;call at;dock;file in;intrude;intrude on;penetrate;pop in;re-enter;take the field;take water;turn in;walk in|jump|enlist;matriculate;register;unionize|accession;book;chronicle;clock in;document;file;film;film;inscribe;keep;log;log up;manifest;notch;photograph;post;record;register;ring up;score;tally;videotape|ascend|cannulate;implant;input;instill;penetrate;plug in;sandwich;transplant|take up
entry,5,noun,lexical entry;nolle prosequi;notebook entry|induction;naturalization;product introduction;ushering in|adjusting entry;credit;debit|filing|arch;doorway;gateway;hatchway;pithead;portal;porte-cochere;service door;stage door;vomitory|admission;entree;incursion;intrusion;irruption;penetration;registration
envoy,5,noun,legate
epoch,5,noun,day;historic period;modern era
epoxy,5,noun,crazy glue
equal,5,noun,associate;contemporary;gangsta;stand-in;successor;townsman
equal,5,verb,equate;match;represent;translate|homogenize;homologize;tie
equid,5,noun,ass;hinny;horse;mule;quagga;zebra
equip,5,verb,accouter;appoint;armor;collar;commission;fin;fuse;horseshoe;instrument;invest;kit out;mechanize;motorize;motorize;muzzle;re-equip;refit;rig;shaft;spar;spur;stave;stock;turn out;wire
erase,5,verb,scratch out;sponge|demagnetize
erect,5,verb,pitch;prick up
ergot,5,noun,rye ergot
erica,5,noun,bell heather;cornish heath;cross-leaved heath;prince-of-wales'-heath;spanish heath;tree heath;winter heath
erode,5,verb,wash
error,5,noun,ballup;blot;blunder;confusion;distortion;incursion;miscalculation;offside;omission;oversight;revoke;slip;stupidity|deviation|algorithm error;hardware error;software error|corrigendum;misprint
erupt,5,verb,blow out;catch;light up|dehisce
essay,5,noun,composition;disquisition;memoir;thanatopsis
essay,5,verb,endeavor;fight;gamble;give it a whirl;grope;have a go;risk;take a dare|control;field-test;float
ester,5,noun,banana oil;cellulose ester;citrate;cyclohexanol phthalate;ethyl acetate;glyceryl ester;lactate;maleate;nucleotide;polyester;urethane
ether,5,noun,enflurane
ethic,5,noun,chartism|double standard
evade,5,verb,beg;quibble
event,5,noun,act;group action;happening;makeup;might-have-been;migration;miracle;nonevent;social event;zap|aftereffect;aftermath;bandwagon effect;brisance;butterfly effect;by-product;change;coattails effect;coriolis effect;dent;domino effect;harvest;impact;influence;knock-on effect;offspring;outgrowth;placebo effect;position effect;product;repercussion;response;side effect;spillover
evoke,5,verb,anger;draw;excite;hurt;infatuate;inflame;interest;invite;overwhelm;prick;rekindle;shame;stimulate;strike a chord;upset|pick|bless;curse|incriminate;smack
exact,5,verb,call;command
exalt,5,verb,canonize;crack up;ensky;hymn|encourage|deify
excel,5,verb,exceed;rank;shine at
exert,5,verb,overexert
exile,5,noun,refugee;remittance man
exist,5,verb,coexist;come;distribute;dwell;dwell;endanger;flow;indwell;kick around;preexist;prevail|breathe;freewheel
expat,5,noun,refugee;remittance man
expel,5,verb,banish;banish;banish;eject;expatriate;extradite;suspend|depose;excommunicate|abort;blow;ejaculate;emit;excrete;expectorate;fester;ovulate;shed blood;spew
extol,5,verb,canonize;crack up;ensky;hymn
exude,5,verb,distill;extravasate;froth;gum;reek;secrete;stream;transpire
exult,5,verb,wallow|glory
fable,5,noun,canard|aesop's fables|arthurian legend
faced,5,verb,undertake|front;pit;take the bull by the horns|confront|reface|reface;revet
facet,5,noun,sector;side;surface
facia,5,noun,aponeurosis
faery,5,noun,elf;fairy godmother;gnome;morgan le fay;oberson;puck;titania;tooth fairy;water sprite
fairy,5,noun,elf;fairy godmother;gnome;morgan le fay;oberson;puck;titania;tooth fairy;water sprite
faith,5,noun,apophatism;bahaism;brahmanism;buddhism;cataphatism;christianity;cult;cult;doctrine of analogy;ecclesiasticism;hinduism;jainism;manichaeism;mithraism;mysticism;nature worship;paganism;revealed religion;shamanism;shamanism;shinto;sikhism;taoism;theism;wicca;zoroastrianism|buddhism;church;cult;cult;established church;hinduism;judaism;khalsa;scientology;sect;shinto;taoism
faker,5,noun,name dropper;ringer
fakir,5,noun,dervish
falls,5,noun,cascade;cataract|pratfall;wipeout|downhill;steep|anticlimax|night|takedown|free fall;plunge;precipitation|correction;voltage drop
falls,5,verb,alight;avalanche;cascade;crash;decline;dive;drip;drop;flop;pitch;plop;pounce;precipitate;prolapse;rappel;set;sink;sink;tumble;unhorse|drop;fall in love|hail;rain;sleet;snow;spat|abate;boil down;break;break;de-escalate;decelerate;decline;decrescendo;deflate;depreciate;drop off;dwindle;ease up;remit;shorten;shrink;shrink;shrivel;taper;thin out;vanish;wane;wane;weaken|fall|fall
fancy,5,noun,bubble;will-o'-the-wisp;wishful thinking
fanny,5,noun,cunt;minge;vulva
faqir,5,noun,dervish
fault,5,noun,ballup;blot;blunder;confusion;distortion;incursion;miscalculation;offside;omission;oversight;revoke;slip;stupidity|blister;bug;hole|inclined fault;strike-slip fault|double fault;footfault
fauna,5,noun,avifauna|acrodont;adult;biped;captive;chordate;creepy-crawly;critter;darter;domestic animal;embryo;feeder;female;fictional animal;game;giant;herbivore;hexapod;homeotherm;insectivore;invertebrate;larva;male;marine animal;mate;metazoan;migrator;molter;mutant;omnivore;peeper;pest;pet;pleurodont;poikilotherm;predator;prey;racer;range animal;scavenger;stayer;stunt;survivor;thoroughbred;varmint;work animal;young;zooplankton
favor,5,noun,turn|cracker
favor,5,verb,advantage
fazed,5,verb,unman
feast,5,noun,gaudy|luau;potlatch
feast,5,verb,wine and dine
feces,5,noun,crap;dog shit;droppings;meconium;melena
feign,5,verb,mouth;play possum;take a dive;talk through one's hat|feint;play
feint,5,noun,juke
felid,5,noun,big cat;cat
fella,5,noun,dog
felon,5,noun,accessory;arsonist;blackmailer;bootlegger;briber;conspirator;desperado;fugitive;gangster;highbinder;highjacker;hood;jail bird;kidnapper;mafioso;moll;murderer;probationer;pusher;racketeer;raper;recidivist;scofflaw;smuggler;thief;traitor;violator
fence,5,noun,backstop;chainlink fence;hedge;picket fence;rail fence;stone wall;wall;weir
fence,5,verb,parry|circumvallate;stockade|oppose;quarrel;quibble;spar;stickle
ferry,5,noun,car-ferry
fetch,5,verb,deliver;retrieve;retrieve
fetor,5,noun,niff
fetus,5,noun,abortus;baby;monster
fever,5,noun,hyperpyrexia|buck fever;gold fever
fiber,5,noun,bassine;bristle;byssus;cantala;coir;fibril;lint;loofa;man-made fiber;natural fiber;nerve fiber;oakum;optical fiber;raffia;raveling;spindle;string|bran|muscle cell;nerve fiber|spirit
fibre,5,noun,bassine;bristle;byssus;cantala;coir;fibril;lint;loofa;man-made fiber;natural fiber;nerve fiber;oakum;optical fiber;raffia;raveling;spindle;string|muscle cell;nerve fiber|spirit
field,5,noun,campus;firebreak;grainfield;lawn;paddy;yard|allometry;architecture;bibliotics;communications;engineering;escapology;frontier;futurology;genealogy;graphology;humanistic discipline;major;military science;numerology;occultism;ology;protology;science;theogony;theology|electric field;gravitational field;magnetic field;radiation field|distaff;front;kingdom;lap;political arena;preserve;province|arena;ball field;bowling green;court;football field;palestra|flat;floodplain;llano;moor;peneplain;snowfield;steppe;tundra|scalar field|coalfield;gasfield;oilfield|bit field|microscopic field;operative field|airport;airstrip;auxiliary airfield
fiend,5,noun,demoniac|dybbuk;incubus;succubus
fight,5,noun,armageddon;assault;combat;dogfight;naval battle;pitched battle|affray;battering;beating;brawl;brush;close-quarter fighting;dogfight;duel;fencing;fistfight;gunfight;hassle;in-fighting;knife fight;rumble;set-to;shock;single combat
fight,5,verb,attack;bandy;battle;bear down;box;chicken-fight;duel;engage;fence;feud;fight;fight back;fistfight;join battle;joust;scuffle;settle;skirmish;spar;tourney;tug;war;wrestle|recalcitrate;repel;resist;resist|flounder;tug
filet,5,noun,chateaubriand;filet mignon;tournedos
fille,5,noun,baby;belle;bimbo;chachka;chit;colleen;dame;flapper;gal;gamine;gibson girl;lass;maid;may queen;mill-girl;party girl;peri;ring girl;rosebud;sex kitten;shop girl;soubrette;sweater girl;tomboy;valley girl;working girl
filth,5,noun,bawdry;scatology
filum,5,noun,hair
final,5,noun,cup final
finch,5,noun,brambling;bullfinch;bunting;canary;cardinal;chaffinch;crossbill;goldfinch;grosbeak;honeycreeper;house finch;junco;linnet;new world goldfinch;new world sparrow;pine siskin;purple finch;pyrrhuloxia;red siskin;redpoll;redpoll;serin;siskin;towhee
fired,5,verb,blast;fusillade;loose off;pop|clean out;dismiss;furlough;pension off;retire;squeeze out|anger;draw;excite;hurt;infatuate;inflame;interest;invite;overwhelm;prick;rekindle;shame;stimulate;strike a chord;upset|backfire;cremate;scorch;torch
first,5,noun,former|birth;incipiency;terminus a quo;threshold|double first
fitch,5,noun,ferret
fiver,5,noun,nickel
fixed,5,verb,cobble;darn;fill;heel;patch;piece;point;sole;tinker;trouble-shoot;vamp|anchor;anchor;bar;belay;belay;belt;bight;bind;bitt;brad;brooch;buckle;button;cable;cement;chain;chock;cinch;clamp;cleat;clinch;clinch;coapt;cramp;crank;entrench;garter;grout;hang;hang;hasp;hook;joggle;joint;latch;lock;lock up;lodge;moor;moor;noose;picket;pin;rig;rivet;rope up;sew;spike;stake;staple;stay;strap;string;tack;tie;toggle;velcro;wire;zip up|define;name;quantify;reset|concoct;deglaze;devil;dress;flambe;lard;precook;preserve;put on;scallop;whip up|alter;emasculate;vasectomize|bury;sediment|brace;cram;cultivate;fix;mount;precondition;prime;provide;set up;socialize;summerize;winterize
fixer,5,noun,fixative;hypo|darner;repairman
flack,5,noun,bofors gun
flake,5,noun,crackpot;nutter|matchwood;scale;scurf;splinter
flame,5,noun,blaze;flare;ignition
flank,5,noun,base;hypotenuse
flaps,5,noun,landing flap|barndoor;coattail;codpiece;earflap;jag;lap;pocket flap;tent-fly;tongue|cusp;protective fold;soft palate;uvula|landing flap
flaps,5,verb,luff|bate;clap;flutter|clap;flail
